customer_id,recency_days,frequency,monetary_total,monetary_avg,avg_basket_size,avg_items_per_order,unique_products,preferred_dow,preferred_hour,tenure_days,purchase_velocity,predicted_purchases_90d,prob_alive,clv_90d,segment,segment_label,churned,churn_proba,treatment,converted
12346,326,12,77556.46,2281.0723529411766,2184.8529411764707,6190.416666666667,27,0,13,400,35.90909090909091,0.4644970498348791,0.5058672260279564,1009.4553097996923,1,Champions,0,0.5,0,0
12347,2,8,5633.32,22.26608695652174,12.988142292490119,410.75,126,1,14,402,57.0,1.4706061983213856,0.9855547081481713,207.6339095205171,3,Loyal Customers,0,0.0,1,0
12348,75,5,1658.3999999999999,36.052173913043475,58.78260869565217,540.8,24,0,14,362,90.5,0.857670269150341,0.9467914516616333,61.06657788427597,0,At Risk,0,0.0,1,0
12349,19,3,3678.69,21.387732558139536,9.424418604651162,540.3333333333334,137,3,9,570,285.0,0.42897680309408254,0.9485379221315923,110.80884314128025,0,At Risk,0,0.0,1,0
12352,36,9,1729.54,18.205684210526314,7.515789473684211,79.33333333333333,68,1,14,356,44.125,1.665122072768318,0.9751726936718422,65.2757660452441,0,At Risk,0,0.0,0,0
12353,204,2,406.76,16.948333333333334,8.833333333333334,106.0,23,2,12,204,204.0,0.3205064680852859,0.73527521853993,6.3922656673427145,0,At Risk,0,0.0,0,0
12355,214,2,947.61,27.074571428571428,15.514285714285714,271.5,35,4,11,353,353.0,0.26422876023120834,0.791734526061354,24.650054081755282,0,At Risk,0,0.0,0,0
12356,23,6,5613.68,40.09771428571429,24.12142857142857,562.8333333333334,103,0,9,401,79.8,1.0705477910357613,0.974557409651947,203.04072062758192,0,At Risk,0,0.0,1,0
12357,33,2,17437.66,59.11071186440678,22.325423728813558,3293.0,260,1,10,355,355.0,0.40505019187661323,0.8934371590514242,498.8516809689702,3,Loyal Customers,0,0.0,1,0
12358,2,5,3447.07,46.58202702702703,14.432432432432432,213.6,55,0,10,730,182.0,0.5759827103484504,0.9758202438304371,57.425402773902334,0,At Risk,0,0.0,1,0
12359,58,10,8935.94,24.482027397260275,7.53972602739726,275.2,305,3,12,676,74.88888888888889,1.096690434419141,0.977505784123225,195.81742113277784,3,Loyal Customers,0,0.0,0,0
12360,52,6,3612.89,17.122701421800947,11.578199052132701,407.1666666666667,159,1,9,603,120.4,0.7434210084003996,0.9696497488376359,102.42842845340013,0,At Risk,0,0.0,1,0
12361,287,4,451.25,18.05,9.24,57.75,17,4,15,394,131.0,0.4084338187055095,0.7961865462430344,9.87625848040763,0,At Risk,0,0.0,1,0
12362,3,10,4737.23,18.5048046875,8.58203125,219.7,200,3,15,292,31.88888888888889,2.3121419615886927,0.9881035255143203,217.58788110228062,3,Loyal Customers,0,0.0,0,0
12363,110,2,552.0,24.0,17.73913043478261,204.0,23,0,13,132,132.0,0.5084942690620726,0.7934852939410082,26.645773840033797,0,At Risk,0,0.0,0,0
12364,8,4,1208.1,14.914814814814815,18.506172839506174,374.75,69,4,15,104,34.333333333333336,1.763088397528234,0.9627263461832282,74.09845957342765,0,At Risk,0,0.0,0,0
12369,413,3,1511.15,16.790555555555557,13.71111111111111,411.3333333333333,89,3,14,228,113.5,0.22763530670359633,0.5407461673970404,27.238273873405422,2,Lost / Dormant,0,0.0,0,0
12370,51,7,3960.31,20.001565656565656,13.11111111111111,370.85714285714283,167,1,12,617,102.66666666666667,0.7313762994613415,0.9701536412181787,102.56376759875712,3,Loyal Customers,0,0.0,1,0
12371,60,4,3347.38,20.536073619631903,8.699386503067485,354.5,133,1,13,585,194.66666666666666,0.3928186739458927,0.9381035459826369,111.12554312219287,0,At Risk,0,0.0,0,0
12372,72,3,1196.04,24.408979591836733,16.081632653061224,262.6666666666667,33,2,12,224,112.0,0.7083146743435831,0.9101435534077572,58.93619615912096,0,At Risk,0,0.0,0,0
12373,311,3,927.6500000000001,19.32604166666667,10.645833333333334,170.33333333333334,35,3,13,362,180.5,0.3109249655989434,0.7700415005601629,17.811718245240957,0,At Risk,0,0.0,1,0
12374,25,3,2669.22,32.95333333333333,16.71604938271605,451.3333333333333,78,4,14,563,281.0,0.4287620331034397,0.9467080231166282,54.593252793847014,0,At Risk,0,0.0,0,0
12375,11,2,377.5,25.166666666666668,11.733333333333333,88.0,13,4,14,87,87.0,0.9719517419898585,0.8971493733988528,38.28777345252116,0,At Risk,0,0.0,0,0
12376,390,2,383.15,34.83181818181818,21.545454545454547,118.5,10,0,8,28,28.0,0.10252878739102624,0.23928826096392422,0.8591660429430301,2,Lost / Dormant,1,1.0,0,0
12377,315,4,3266.32,21.775466666666667,14.006666666666666,525.25,128,3,15,274,91.0,0.3852433597990611,0.6628271755631275,52.21700264079277,2,Lost / Dormant,0,0.0,0,1
12378,130,2,5416.32,17.994418604651162,11.016611295681063,1658.0,281,1,10,432,432.0,0.2868764329144723,0.8532613666428505,228.3843099308241,0,At Risk,0,0.0,1,0
12379,82,4,1470.22,19.093766233766235,10.454545454545455,201.25,57,2,14,452,150.66666666666666,0.5946955630023438,0.9427148981657595,45.213768924326736,0,At Risk,0,0.0,0,0
12380,22,8,7210.65,27.0061797752809,12.411985018726591,414.25,154,1,15,640,91.0,0.8590677074291352,0.9801530344688785,160.66472225962505,3,Loyal Customers,0,0.0,1,0
12381,5,3,1474.81,17.985487804878048,9.71951219512195,265.6666666666667,69,4,9,115,57.0,1.3100238676358864,0.9494196254551752,59.08766631172378,0,At Risk,0,0.0,1,0
12383,185,5,1628.56,17.325106382978724,16.148936170212767,303.6,83,2,14,167,41.25,0.7521468755716664,0.6999543037997459,40.08536453739323,0,At Risk,0,0.0,0,0
12384,29,2,425.27000000000004,17.010800000000003,4.88,61.0,25,2,11,92,92.0,0.855210963338315,0.8765715691685552,37.987078140795504,0,At Risk,0,0.0,1,0
12386,338,2,660.8,36.71111111111111,31.555555555555557,284.0,10,2,9,29,29.0,0.139171690322078,0.29344921752810205,4.263887348492413,2,Lost / Dormant,1,1.0,0,0
12388,16,8,3901.11,26.719931506849317,13.705479452054794,250.125,83,3,12,566,80.42857142857143,1.0895103831000859,0.9832497020239024,105.47009453940971,0,At Risk,0,0.0,0,0
12389,403,3,1433.33,29.251632653061222,12.53061224489796,204.66666666666666,41,1,11,253,126.0,0.24277081333916706,0.5874409246788647,30.619538831886178,2,Lost / Dormant,0,0.0,1,0
12391,22,6,2773.42,9.86982206405694,4.341637010676156,203.33333333333334,241,2,12,641,128.0,0.625059973508431,0.972087815747407,63.66353669786809,3,Loyal Customers,0,0.0,1,0
12393,72,6,2399.4500000000003,22.42476635514019,12.25233644859813,218.5,63,0,9,356,70.8,1.0373751053871978,0.9514372355055349,85.89730957662857,0,At Risk,0,0.0,1,0
12394,64,2,1080.48,43.2192,32.32,404.0,25,4,14,153,153.0,0.5874382198169346,0.851725822513863,86.21354160085102,0,At Risk,0,0.0,0,0
12395,19,15,4551.27,19.122983193277314,15.550420168067227,246.73333333333332,144,4,16,583,41.214285714285715,1.8157178409499526,0.988762120944137,96.6763016168196,3,Loyal Customers,0,0.0,0,1
12397,36,2,2214.9,17.86209677419355,10.080645161290322,625.0,109,2,14,99,99.0,0.7999520553445196,0.8695428841143733,176.92066547904844,0,At Risk,0,0.0,1,0
12399,119,7,1842.3,17.886407766990292,21.262135922330096,312.85714285714283,66,4,9,525,87.33333333333333,0.8462243153010728,0.94297954462725,46.06405280780253,0,At Risk,0,0.0,0,1
12402,323,6,1136.9,17.7640625,9.0,96.0,42,6,12,347,69.0,0.4512793239094662,0.6001506555062398,17.233482660002654,2,Lost / Dormant,0,0.1111111119389534,0,0
12403,50,2,947.36,135.33714285714285,36.57142857142857,128.0,4,4,10,471,471.0,0.31883371926373577,0.8905801067648239,25.469990662324722,0,At Risk,0,0.0,0,0
12406,22,5,6390.36,38.49614457831325,20.57831325301205,683.2,114,3,19,675,168.25,0.5979525567003904,0.9720885988515283,162.21723866733225,0,At Risk,0,0.0,0,0
12407,50,5,1507.1200000000001,20.932222222222222,19.48611111111111,280.6,56,2,9,214,53.0,1.2588580783663779,0.9482072893028497,80.88461837238637,0,At Risk,0,0.0,1,0
12408,33,8,3905.77,25.695855263157895,14.473684210526315,275.0,103,4,13,465,66.14285714285714,1.0860273298709129,0.9757619252686343,132.89312849148715,0,At Risk,0,0.0,0,0
12409,79,7,23419.29,88.70943181818183,49.78409090909091,1877.5714285714287,177,4,10,486,80.66666666666667,0.962259159421762,0.959887830724519,523.7474103772205,1,Champions,0,0.0,1,0
12410,309,3,773.71,20.36078947368421,8.81578947368421,111.66666666666667,35,4,10,193,96.5,0.23102611953129482,0.6259251618720715,24.934800273908515,2,Lost / Dormant,0,0.1111111119389534,0,0
12412,75,6,2404.93,19.875454545454545,16.41322314049587,331.0,81,0,13,464,92.4,0.8658445220902855,0.9580410519654489,60.61659959768763,0,At Risk,0,0.0,1,0
12413,67,4,871.45,18.155208333333334,6.520833333333333,78.25,40,3,16,335,111.33333333333333,0.7471151678846444,0.9416305657816582,34.18647849005384,0,At Risk,0,0.0,1,0
12414,217,4,532.41,24.200454545454544,22.227272727272727,122.25,19,3,14,246,81.66666666666667,0.5490376716543368,0.774409495171132,16.34943869410686,0,At Risk,0,0.0,0,1
12415,24,24,144033.37,156.21840563991321,99.17895878524946,3810.125,496,2,15,503,21.347826086956523,2.727851058624035,0.988247672676635,4213.337203999427,1,Champions,0,0.0,1,0
12417,3,20,6017.91,17.145042735042736,8.094017094017094,142.05,269,3,10,730,37.94736842105263,2.179700262931779,0.9943796680539226,129.4157754981294,3,Loyal Customers,0,0.0,1,0
12418,113,4,2021.2,19.815686274509805,10.666666666666666,272.0,90,4,11,517,172.0,0.5133642626330924,0.9350534194729178,56.855006916187975,0,At Risk,0,0.0,1,1
12419,386,2,391.01,17.000434782608696,9.869565217391305,113.5,22,4,10,27,27.0,0.10484092618257393,0.2428318380693761,3.4009825828916096,2,Lost / Dormant,1,1.0,1,0
12421,16,6,874.6,14.823728813559322,10.915254237288135,107.33333333333333,43,2,13,489,97.4,0.9320914478153673,0.9772920977308102,30.636198693843582,0,At Risk,0,0.0,1,0
12422,96,12,3639.35,22.465123456790124,15.919753086419753,214.91666666666666,135,4,9,625,56.27272727272727,1.3021641394069572,0.9600618564635561,83.07667620263692,3,Loyal Customers,0,0.0,1,0
12423,1,10,2301.39,14.847677419354838,11.432258064516128,177.2,127,0,10,465,51.111111111111114,1.629320032040981,0.989086811124742,72.85749871426549,3,Loyal Customers,0,0.0,0,0
12424,163,4,3340.03,36.30467391304348,22.01086956521739,506.25,78,2,10,385,128.33333333333334,0.4232081168680866,0.8809453825379978,121.1319342971824,0,At Risk,0,0.0,0,0
12425,78,2,1741.41,19.136373626373626,12.604395604395604,573.5,87,4,14,370,370.0,0.35289249792505284,0.8719292527280275,55.12979688651939,0,At Risk,0,0.0,0,0
12426,195,2,1201.21,16.016133333333332,7.68,288.0,72,0,8,468,468.0,0.24223406956618077,0.8274505502864241,25.060183211856447,0,At Risk,0,0.0,0,0
12427,22,3,949.3,25.656756756756756,16.27027027027027,200.66666666666666,25,4,10,349,174.5,0.6209004051953784,0.9450723434463307,28.262685444786623,0,At Risk,0,0.0,0,0
12428,26,8,6405.26,22.317979094076655,12.226480836236934,438.625,256,1,9,257,36.57142857142857,1.6767200524111683,0.9733221281349419,109.71073293787843,3,Loyal Customers,0,0.0,0,0
12429,9,8,6979.91,41.30124260355029,19.62721893491124,414.625,123,4,12,537,76.42857142857143,0.8752021349797746,0.9788435828065748,192.03265966442046,3,Loyal Customers,0,0.0,1,0
12431,36,25,10527.97,26.319924999999998,11.7375,187.8,243,3,9,658,27.0,2.714510243083825,0.9870450176591659,221.19001854785262,3,Loyal Customers,0,0.0,0,0
12432,43,4,4359.32,40.74130841121495,16.822429906542055,450.0,106,0,13,129,43.0,0.6937709908275318,0.8677712202930438,144.85831266748,0,At Risk,0,0.0,0,0
12433,1,10,20581.26,29.151926345609063,24.243626062322946,1711.6,285,2,13,476,52.44444444444444,1.4446023210261276,0.987760399079717,724.606378925624,1,Champions,0,0.0,1,0
12434,85,3,1103.43,15.763285714285715,7.6,177.33333333333334,62,4,13,296,147.5,0.5868263798154946,0.9117613435102557,47.284630442587314,0,At Risk,0,0.0,0,0
12435,80,6,13925.93,124.33866071428572,44.267857142857146,826.3333333333334,88,3,16,657,131.2,0.667453319101192,0.9638961010662909,339.08217001679077,3,Loyal Customers,0,0.0,1,0
12437,2,38,11282.4,21.327788279773156,14.975425330812854,208.47368421052633,272,2,9,735,19.37837837837838,3.6591229669233445,0.996809629064589,234.2140596056478,3,Loyal Customers,0,0.0,0,0
12438,14,2,2466.85,25.696354166666666,12.177083333333334,584.5,83,4,13,125,125.0,0.8072958298328862,0.8954020613509438,273.13830380411565,0,At Risk,0,0.0,1,0
12439,683,2,1158.18,16.085833333333333,6.722222222222222,242.0,69,0,8,43,43.0,0.030790061558119808,0.11374135058177924,0.5379822265181039,2,Lost / Dormant,1,1.0,1,0
12440,462,2,739.2,24.64,10.933333333333334,164.0,20,1,12,255,255.0,0.1516520234161125,0.5548597957849014,7.880060517870977,2,Lost / Dormant,0,0.0,0,0
12444,21,5,4085.46,23.752674418604652,6.569767441860465,226.0,137,1,14,149,37.25,1.7019739037501238,0.9627611373384031,186.2563100377215,0,At Risk,0,0.0,0,1
12445,22,2,378.98,16.477391304347826,8.869565217391305,102.0,23,4,12,398,398.0,0.3833051841842704,0.8996622016240761,6.764257487121629,0,At Risk,0,0.0,1,0
12449,22,5,4274.89,21.810663265306125,11.464285714285714,449.4,124,3,9,416,103.5,0.8785893380927068,0.9698842372737233,155.7689826681839,0,At Risk,0,0.0,1,0
12450,156,5,688.2,18.6,11.945945945945946,88.4,31,6,16,318,79.0,0.7455638340286326,0.8771161482116999,20.204812149872783,0,At Risk,0,0.0,1,1
12451,11,8,12629.88,24.76447058823529,18.349019607843136,1169.75,351,2,12,518,73.57142857142857,1.0396837961077927,0.981780414529729,356.9990795808385,3,Loyal Customers,0,0.0,1,0
12454,56,4,16459.78,422.045641025641,197.48717948717947,1925.5,23,1,17,364,121.0,0.7252548823970122,0.947994557851763,558.2238279632194,1,Champions,0,0.0,0,0
12455,73,9,5722.95,26.01340909090909,14.977272727272727,366.1111111111111,198,4,12,648,80.5,1.0012426936715464,0.9710759819413067,100.69150482727198,3,Loyal Customers,0,0.0,0,0
12456,44,3,2581.04,21.15606557377049,13.262295081967213,539.3333333333334,104,2,15,210,104.5,0.8045605627033614,0.9269311007612512,143.68036237384578,0,At Risk,0,0.0,0,0
12457,66,7,2555.91,31.948874999999997,13.5375,154.71428571428572,62,3,15,368,61.0,1.1893643076392397,0.9578059271249416,80.00087015991039,0,At Risk,0,0.0,1,0
12458,71,4,1502.49,18.781125,12.2375,244.75,70,0,10,416,138.33333333333334,0.6427524295910979,0.9445554476407403,49.25281367092864,0,At Risk,0,0.0,1,0
12462,19,2,937.59,15.6265,8.783333333333333,263.5,50,2,14,284,284.0,0.4912226292871108,0.8990026953944975,34.551554055388884,0,At Risk,0,0.0,0,0
12463,53,4,1200.78,15.199746835443039,9.721518987341772,192.0,64,1,14,188,62.0,1.0813791885209543,0.9342837141198304,63.67256947860588,0,At Risk,0,0.0,0,0
12464,10,8,957.05,43.502272727272725,4.318181818181818,11.875,5,3,13,299,42.285714285714285,1.584071000586298,0.9804678590698972,41.47403849126273,0,At Risk,0,0.0,0,0
12465,17,2,682.1899999999999,15.159777777777776,10.555555555555555,237.5,45,3,13,152,152.0,0.7226288675037811,0.8942719387809746,40.49329577140459,0,At Risk,0,0.0,0,0
12468,188,5,3238.74,22.336137931034482,15.013793103448275,435.4,126,4,10,495,123.25,0.5645107800888909,0.9006653387062676,78.92445847281604,0,At Risk,0,0.0,1,0
12469,523,2,3070.54,40.40184210526316,33.578947368421055,1276.0,76,0,12,14,14.0,0.04332193697689378,0.1238786929495571,9.654528355391982,2,Lost / Dormant,1,1.0,1,0
12471,2,72,35186.59,32.281275229357796,15.263302752293578,231.06944444444446,253,0,12,730,9.985915492957746,4.8570300161472515,0.997403327555013,739.256962267473,1,Champions,0,0.0,1,1
12472,32,19,16494.59,18.512446689113357,12.652076318742985,593.3157894736842,396,0,14,693,37.77777777777778,2.080299864217461,0.9882003125512572,347.1155992076836,3,Loyal Customers,0,0.0,0,0
12473,54,3,2596.23,16.125652173913043,15.024844720496894,806.3333333333334,138,0,11,138,68.5,0.9542063381747315,0.9091188610574671,188.75502149977595,0,At Risk,0,0.0,0,0
12474,17,29,11362.45,16.636090775988286,11.559297218155198,272.2413793103448,368,1,12,649,22.678571428571427,3.2871468283996363,0.9929797185661791,268.24992337963863,3,Loyal Customers,0,0.0,1,0
12475,54,2,1065.64,18.06169491525424,12.983050847457626,383.0,53,0,10,356,356.0,0.38441254097939814,0.8835806765157191,51.84665582594607,0,At Risk,0,0.0,1,0
12476,16,18,12351.41,24.70282,11.094,308.1666666666667,357,1,10,486,28.176470588235293,2.4109717778155404,0.9900000852568591,355.008376824504,3,Loyal Customers,0,0.0,1,0
12477,23,9,20276.37,35.95101063829787,10.849290780141844,679.8888888888889,295,4,9,600,74.75,1.1499708671528444,0.9837226524585795,515.4759962407178,3,Loyal Customers,0,0.0,1,0
12480,28,7,4834.85,20.573829787234043,12.412765957446808,416.7142857142857,176,4,14,479,79.5,1.0716439009414245,0.9771001848815843,156.04781562838855,3,Loyal Customers,0,0.0,0,0
12481,23,14,11191.39,29.60685185185185,19.058201058201057,514.5714285714286,247,2,13,584,44.46153846153846,1.551434357627097,0.9868141774824628,227.89121907827362,3,Loyal Customers,0,0.0,1,0
12482,576,27,21941.72,108.62237623762377,133.86138613861385,1001.4814814814815,41,2,16,77,2.8846153846153846,0.009670202256007449,0.014863694762304525,7.372744140542128,2,Lost / Dormant,1,1.0,0,0
12483,17,19,4092.58,33.2730081300813,17.422764227642276,112.78947368421052,67,1,11,660,36.166666666666664,2.100648216983698,0.9912616206075886,94.1218222538041,3,Loyal Customers,0,0.0,0,1
12484,35,9,5573.15,11.883049040511727,6.912579957356077,360.22222222222223,328,4,14,645,80.375,1.0629873438337345,0.981309634652093,130.93365073195469,3,Loyal Customers,0,0.0,0,1
12488,10,3,1244.66,23.049259259259262,9.74074074074074,175.33333333333334,45,2,10,65,32.5,1.6117849035865646,0.9432428699998918,111.63917113185062,0,At Risk,0,0.0,0,0
12490,5,20,8764.64,19.874467120181404,13.263038548752835,292.45,194,4,14,733,38.1578947368421,2.1662332483103692,0.9941026498208364,184.39447319766015,3,Loyal Customers,0,0.0,1,0
12492,63,3,607.21,15.569487179487181,11.23076923076923,146.0,37,0,14,340,169.5,0.5709232272830337,0.9267610353105487,13.439261181173704,0,At Risk,0,0.0,0,1
12493,166,2,415.74,19.79714285714286,9.80952380952381,103.0,19,3,14,31,31.0,0.42134855027894275,0.573635195589251,16.26706881479334,2,Lost / Dormant,0,0.1111111119389534,1,0
12494,16,9,1602.8700000000001,15.714411764705883,9.53921568627451,108.11111111111111,82,3,13,560,69.375,1.2303401880147513,0.9849444945124362,39.964926603974504,0,At Risk,0,0.0,1,0
